Repository name,Username,Stars,URL
devops-exercises,bregman-arie,64700,https://github.com/bregman-arie/devops-exercises
ansible,ansible,61800,https://github.com/ansible/ansible
algo,trailofbits,28500,https://github.com/trailofbits/algo
90DaysOfDevOps,MichaelCade,26100,https://github.com/MichaelCade/90DaysOfDevOps
streisand,StreisandEffect,23100,https://github.com/StreisandEffect/streisand
kubespray,kubernetes-sigs,15600,https://github.com/kubernetes-sigs/kubespray
awx,ansible,13700,https://github.com/ansible/awx
kubeasz,easzlab,10200,https://github.com/easzlab/kubeasz
semaphore,semaphoreui,9700,https://github.com/semaphoreui/semaphore
netboot.xyz,netbootxyz,8400,https://github.com/netbootxyz/netboot.xyz
ansible-for-devops,geerlingguy,8200,https://github.com/geerlingguy/ansible-for-devops
homelab,khuedoan,7900,https://github.com/khuedoan/homelab
DevOps-Guide,Tikam02,7800,https://github.com/Tikam02/DevOps-Guide
mac-dev-playbook,geerlingguy,5900,https://github.com/geerlingguy/mac-dev-playbook
rundeck,rundeck,5400,https://github.com/rundeck/rundeck
KubeOperator,KubeOperator,5000,https://github.com/KubeOperator/KubeOperator
DetectionLab,clong,4600,https://github.com/clong/DetectionLab
boilerplates,ChristianLempa,3900,https://github.com/ChristianLempa/boilerplates
molecule,ansible,3800,https://github.com/ansible/molecule
ansible-collection-hardening,dev-sec,3800,https://github.com/dev-sec/ansible-collection-hardening
