Repository name,Username,Stars,URL
bypass-paywalls-chrome,iamadamdev,47800,https://github.com/iamadamdev/bypass-paywalls-chrome
linux-command,jaywcjlove,29700,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,23600,https://github.com/refined-github/refined-github
openai-translator,openai-translator,23200,https://github.com/openai-translator/openai-translator
darkreader,darkreader,19100,https://github.com/darkreader/darkreader
daily,dailydotdev,17300,https://github.com/dailydotdev/daily
headless-recorder,checkly,15000,https://github.com/checkly/headless-recorder
SingleFile,gildas-lormeau,14300,https://github.com/gildas-lormeau/SingleFile
codelf,unbug,14000,https://github.com/unbug/codelf
immersive-translate,immersive-translate,13700,https://github.com/immersive-translate/immersive-translate
chatgpt-google-extension,wong2,13300,https://github.com/wong2/chatgpt-google-extension
return-youtube-dislike,Anarios,12300,https://github.com/Anarios/return-youtube-dislike
ext-saladict,crimx,11800,https://github.com/crimx/ext-saladict
listen1_chrome_extension,listen1,11200,https://github.com/listen1/listen1_chrome_extension
screenity,alyssaxuu,11100,https://github.com/alyssaxuu/screenity
automa,AutomaApp,10700,https://github.com/AutomaApp/automa
chathub,chathub-dev,9800,https://github.com/chathub-dev/chathub
chatGPTBox,josStorer,9700,https://github.com/josStorer/chatGPTBox
SponsorBlock,ajayyy,9300,https://github.com/ajayyy/SponsorBlock
plasmo,PlasmoHQ,8800,https://github.com/PlasmoHQ/plasmo
