Repository name,Username,Stars,URL
bitcoin,bitcoin,77100,https://github.com/bitcoin/bitcoin
ccxt,ccxt,31900,https://github.com/ccxt/ccxt
OpenBBTerminal,OpenBB-finance,26600,https://github.com/OpenBB-finance/OpenBBTerminal
freqtrade,freqtrade,26300,https://github.com/freqtrade/freqtrade
dogecoin,dogecoin,14400,https://github.com/dogecoin/dogecoin
monero,monero-project,8700,https://github.com/monero-project/monero
xmrig,xmrig,8500,https://github.com/xmrig/xmrig
tachyon,kroma-network,7800,https://github.com/kroma-network/tachyon
blockchain,dvf,7700,https://github.com/dvf/blockchain
hummingbot,hummingbot,7600,https://github.com/hummingbot/hummingbot
lnd,lightningnetwork,7600,https://github.com/lightningnetwork/lnd
lbry-sdk,lbryio,7200,https://github.com/lbryio/lbry-sdk
StockSharp,StockSharp,6800,https://github.com/StockSharp/StockSharp
financial-machine-learning,firmai,6400,https://github.com/firmai/financial-machine-learning
cosmos-sdk,cosmos,6100,https://github.com/cosmos/cosmos-sdk
python-binance,sammchardy,5900,https://github.com/sammchardy/python-binance
tendermint,tendermint,5700,https://github.com/tendermint/tendermint
jesse,jesse-ai,5400,https://github.com/jesse-ai/jesse
seaprotocol,sea-protocol,5100,https://github.com/sea-protocol/seaprotocol
grin,mimblewimble,5000,https://github.com/mimblewimble/grin
