Repository name,Username,Stars,URL
Blog,ljianshu,7800,https://github.com/ljianshu/Blog
infinite-scroll,metafizzy,7400,https://github.com/metafizzy/infinite-scroll
tabulator,olifolkerd,6400,https://github.com/olifolkerd/tabulator
unfetch,developit,5700,https://github.com/developit/unfetch
form,jquery-form,5200,https://github.com/jquery-form/form
elFinder,Studio-42,4600,https://github.com/Studio-42/elFinder
wretch,elbywan,4600,https://github.com/elbywan/wretch
learn-to-send-email-via-google-script-html-no-server,dwyl,3100,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
reqwest,ded,2900,https://github.com/ded/reqwest
ajax-hook,wendux,2500,https://github.com/wendux/ajax-hook
bliss,LeaVerou,2400,https://github.com/LeaVerou/bliss
featherlight,noelboss,2100,https://github.com/noelboss/featherlight
jquery-confirm,craftpip,1900,https://github.com/craftpip/jquery-confirm
tsrpc,k8w,1800,https://github.com/k8w/tsrpc
tracy,nette,1700,https://github.com/nette/tracy
sente,taoensso,1700,https://github.com/taoensso/sente
css-spinner,loadingio,1700,https://github.com/loadingio/css-spinner
Enterprise,joaomilho,1600,https://github.com/joaomilho/Enterprise
eCommerce,codingforentrepreneurs,1500,https://github.com/codingforentrepreneurs/eCommerce
pjax,MoOx,1400,https://github.com/MoOx/pjax
